decade	win	threePointersAttempted	threePointersPercentage	assists	reboundsDefensive	turnovers	freeThrowsAttempted	fieldGoalsPercentage
1980	0	5.504	0.252	23.950	27.169	17.362	27.604	0.461
1980	1	4.246	0.315	27.635	31.353	16.346	30.779	0.510
1990	0	12.255	0.302	21.429	26.992	15.852	25.126	0.438
1990	1	11.291	0.370	25.174	30.902	14.813	28.552	0.490
2000	0	15.927	0.315	19.520	28.473	15.295	24.115	0.425
2000	1	15.881	0.387	22.988	31.920	14.233	26.623	0.475
2010	0	23.683	0.321	20.630	30.613	14.920	22.460	0.430
2010	1	23.960	0.385	23.867	34.372	14.079	24.322	0.480
2020	0	35.520	0.329	23.882	31.502	14.340	21.906	0.443
2020	1	35.571	0.388	27.041	35.465	13.479	23.133	0.493
