decade	stat	corr_win	sample_size
1980	assists	0.317	15423
1980	fieldGoalsPercentage	0.436	15484
1980	freeThrowsAttempted	0.187	20074
1980	reboundsDefensive	0.378	9285
1980	threePointersAttempted	-0.178	10000
1980	threePointersPercentage	0.123	9424
1980	turnovers	-0.109	9971
1990	assists	0.330	23396
1990	fieldGoalsPercentage	0.444	23396
1990	freeThrowsAttempted	0.206	23396
1990	reboundsDefensive	0.371	23396
1990	threePointersAttempted	-0.079	23396
1990	threePointersPercentage	0.206	23309
1990	turnovers	-0.125	23396
2000	assists	0.339	27106
2000	fieldGoalsPercentage	0.441	27106
2000	freeThrowsAttempted	0.157	27106
2000	reboundsDefensive	0.335	27106
2000	threePointersAttempted	-0.004	27106
2000	threePointersPercentage	0.271	27106
2000	turnovers	-0.129	27106
2010	assists	0.316	27558
2010	fieldGoalsPercentage	0.448	27558
2010	freeThrowsAttempted	0.123	27558
2010	reboundsDefensive	0.342	27558
2010	threePointersAttempted	0.017	27558
2010	threePointersPercentage	0.306	27558
2010	turnovers	-0.104	27558
2020	assists	0.306	16950
2020	fieldGoalsPercentage	0.454	16950
2020	freeThrowsAttempted	0.086	16950
2020	reboundsDefensive	0.360	16950
2020	threePointersAttempted	0.004	16950
2020	threePointersPercentage	0.352	16950
2020	turnovers	-0.107	16950
